Tarih,Hat,Enerji Tipi,Tuketim (kWh),Uretim Adedi,Hedef kWh/birim,CO2 Faktoru,Planlanan Iyilestirme,Sorumlu Ekip,Durum
2026-03-25,HAT-02,Elektrik,1733.6,740,2.15,0.00042,Standart izleme,Tesis,Izlemede
2026-03-25,HAT-03,Dogalgaz,809.7,698,1.35,0.0002,Kacak kontrolu,Tesis,Kapandi
2026-03-26,HAT-01,Elektrik,1983.8,815,2.15,0.00042,Standart izleme,Tesis,Izlemede
2026-03-26,HAT-02,Dogalgaz,848.6,725,1.35,0.0002,Standart izleme,Tesis,Izlemede
2026-03-26,HAT-03,Basincli Hava,175.5,729,0.58,8e-05,Kacak kontrolu,Tesis,Izlemede
2026-03-27,HAT-01,Dogalgaz,912.8,797,1.35,0.0002,Standart izleme,Tesis,Izlemede
2026-03-27,HAT-02,Basincli Hava,187.2,854,0.58,8e-05,Basinc optimizasyonu,Tesis,Acik
2026-03-27,HAT-03,Elektrik,1914.2,696,2.15,0.00042,Kacak kontrolu,Tesis,Izlemede
2026-03-28,HAT-01,Basincli Hava,169.6,788,0.58,8e-05,Basinc optimizasyonu,Tesis,Kapandi
2026-03-28,HAT-02,Elektrik,1833.3,757,2.15,0.00042,Standart izleme,Tesis,Izlemede
2026-03-28,HAT-03,Dogalgaz,941.0,788,1.35,0.0002,Kacak kontrolu,Tesis,Acik
2026-03-29,HAT-01,Elektrik,2358.8,922,2.15,0.00042,Standart izleme,Tesis,Acik
2026-03-29,HAT-02,Dogalgaz,939.8,795,1.35,0.0002,Standart izleme,Tesis,Kapandi
2026-03-29,HAT-03,Basincli Hava,148.6,597,0.58,8e-05,Kacak kontrolu,Tesis,Acik
2026-03-30,HAT-01,Dogalgaz,974.6,836,1.35,0.0002,Standart izleme,Tesis,Izlemede
2026-03-30,HAT-02,Basincli Hava,153.9,689,0.58,8e-05,Basinc optimizasyonu,Tesis,Acik
2026-03-30,HAT-03,Elektrik,1802.3,659,2.15,0.00042,Kacak kontrolu,Tesis,Kapandi
2026-03-31,HAT-01,Basincli Hava,200.5,834,0.58,8e-05,Basinc optimizasyonu,Tesis,Kapandi
2026-03-31,HAT-02,Elektrik,1945.5,751,2.15,0.00042,Standart izleme,Tesis,Izlemede
2026-03-31,HAT-03,Dogalgaz,866.7,702,1.35,0.0002,Kacak kontrolu,Tesis,Izlemede
